10,-1,10,8,10,1.0,8,10,1.0
17,-1,17,8,17,184.0,8,17,184.0
51,-1,51,8,51,146.0,8,51,146.0
21,-1,21,8,21,84.0,8,21,84.0
19,-1,19,8,19,169.0,8,19,169.0
36,-1,36,8,36,627.0,8,36,627.0
1,-1,1,8,1,3.0,8,1,3.0
52,-1,52,8,52,7.0,8,52,7.0
46,-1,46,8,46,95.0,8,46,95.0
24,-1,24,8,24,103.0,8,24,103.0
2,-1,2,8,2,71.0,8,2,71.0
39,-1,39,8,39,175.0,8,39,175.0
14,-1,14,8,14,43.0,8,14,43.0
37,-1,37,8,37,78.0,8,37,78.0
7,-1,7,8,7,65.0,8,7,65.0
3,-1,3,8,3,19.0,8,3,19.0
9,-1,9,8,9,98.0,8,9,98.0
0,-1,0,8,0,97.0,8,0,97.0
12,-1,12,8,12,48.0,8,12,48.0
11,-1,11,8,11,227.0,8,11,227.0
22,-1,22,8,22,642.0,8,22,642.0
44,-1,44,8,44,472.0,8,44,472.0
5,-1,5,8,5,156.0,8,5,156.0
25,-1,25,8,25,29.0,8,25,29.0
26,-1,26,8,26,219.0,8,26,219.0
20,-1,20,8,20,51.0,8,20,51.0
28,-1,28,8,28,83.0,8,28,83.0
29,-1,29,8,29,95.0,8,29,95.0
15,-1,15,8,15,107.0,8,15,107.0
31,-1,31,8,31,12.0,8,31,12.0
32,-1,32,8,32,61.0,8,32,61.0
33,-1,33,8,33,21.0,8,33,21.0
34,-1,34,8,34,141.0,8,34,141.0
30,-1,30,45,30,52.0,45,30,52.0
6,-1,6,45,6,46.0,45,6,46.0
27,-1,27,45,27,32.0,45,27,32.0
13,-1,13,45,13,65.0,45,13,65.0
50,-1,50,45,50,147.0,45,50,147.0
49,-1,49,45,49,1364.0,45,49,1364.0
47,-1,47,45,47,69.0,45,47,69.0
23,-1,23,45,23,732.0,45,23,732.0
43,-1,43,45,43,314.0,45,43,314.0
42,-1,42,45,42,44.0,45,42,44.0
41,-1,41,45,41,174.0,45,41,174.0
40,-1,40,45,40,42.0,45,40,42.0
48,-1,48,45,48,360.0,45,48,360.0
4,-1,4,45,4,400.0,45,4,400.0
38,-1,38,45,38,456.0,45,38,456.0
18,-1,18,45,18,511.0,45,18,511.0
35,-1,35,45,35,51.0,45,35,51.0
16,-1,16,45,16,78.0,45,16,78.0
